bed_id,dept_id,bed_number,is_occupied,patient_id
1,1,ICU-001,False,
2,1,ICU-002,True,
3,1,ICU-003,False,
4,1,ICU-004,True,
5,1,ICU-005,True,
6,1,ICU-006,False,
7,1,ICU-007,True,
8,1,ICU-008,False,
9,1,ICU-009,False,
10,1,ICU-010,False,
11,2,CAR-001,False,
12,2,CAR-002,False,
13,2,CAR-003,False,
14,2,CAR-004,True,
15,2,CAR-005,True,
16,2,CAR-006,True,
17,2,CAR-007,True,
18,2,CAR-008,True,
19,3,SUR-001,False,
20,3,SUR-002,False,
21,3,SUR-003,True,
22,3,SUR-004,True,
23,3,SUR-005,True,
24,3,SUR-006,False,
25,3,SUR-007,False,
26,3,SUR-008,True,
27,3,SUR-009,False,
28,3,SUR-010,True,
29,4,ORT-001,False,
30,4,ORT-002,True,
31,4,ORT-003,False,
32,4,ORT-004,True,
33,4,ORT-005,False,
34,4,ORT-006,False,
35,4,ORT-007,True,
36,4,ORT-008,False,
37,4,ORT-009,True,
38,4,ORT-010,True,
39,4,ORT-011,True,
40,4,ORT-012,False,
41,4,ORT-013,False,
42,4,ORT-014,True,
43,4,ORT-015,False,
44,5,ONC-001,True,
45,5,ONC-002,False,
46,5,ONC-003,True,
47,5,ONC-004,True,
48,5,ONC-005,True,
49,5,ONC-006,False,
50,5,ONC-007,True,
51,5,ONC-008,False,
52,5,ONC-009,True,
53,5,ONC-010,True,
54,5,ONC-011,True,
55,5,ONC-012,False,
56,6,MAT-001,False,
57,6,MAT-002,True,
58,6,MAT-003,True,
59,6,MAT-004,False,
60,6,MAT-005,False,
61,6,MAT-006,True,
62,6,MAT-007,False,
63,6,MAT-008,True,
64,6,MAT-009,False,
65,6,MAT-010,True,
66,6,MAT-011,False,
67,6,MAT-012,True,
68,6,MAT-013,False,
69,6,MAT-014,True,
70,6,MAT-015,False,
71,6,MAT-016,True,
72,6,MAT-017,False,
73,6,MAT-018,True,
74,6,MAT-019,False,
75,6,MAT-020,True,
76,7,PED-001,False,
77,7,PED-002,False,
78,7,PED-003,True,
79,7,PED-004,False,
80,7,PED-005,False,
81,7,PED-006,True,
82,7,PED-007,False,
83,7,PED-008,False,
84,7,PED-009,False,
85,7,PED-010,False,
86,7,PED-011,False,
87,7,PED-012,False,
88,7,PED-013,True,
89,7,PED-014,True,
90,7,PED-015,True,
91,7,PED-016,True,
92,7,PED-017,False,
93,7,PED-018,False,
94,7,PED-019,False,
95,7,PED-020,True,
96,8,GEN-001,False,
97,8,GEN-002,True,
98,8,GEN-003,False,
99,8,GEN-004,False,
100,8,GEN-005,False,
101,8,GEN-006,True,
102,8,GEN-007,False,
103,8,GEN-008,False,
104,8,GEN-009,False,
105,8,GEN-010,True,
106,8,GEN-011,False,
107,8,GEN-012,False,
108,8,GEN-013,False,
109,8,GEN-014,True,
110,8,GEN-015,True,
111,8,GEN-016,True,
112,8,GEN-017,True,
113,8,GEN-018,False,
114,8,GEN-019,True,
115,8,GEN-020,True,
116,8,GEN-021,True,
117,8,GEN-022,True,
118,8,GEN-023,True,
119,8,GEN-024,False,
120,8,GEN-025,False,
121,8,GEN-026,False,
122,8,GEN-027,False,
123,8,GEN-028,True,
124,8,GEN-029,True,
125,8,GEN-030,True,
126,9,GEN-001,False,
127,9,GEN-002,False,
128,9,GEN-003,False,
129,9,GEN-004,True,
130,9,GEN-005,False,
131,9,GEN-006,True,
132,9,GEN-007,True,
133,9,GEN-008,True,
134,9,GEN-009,True,
135,9,GEN-010,False,
136,9,GEN-011,False,
137,9,GEN-012,True,
138,9,GEN-013,True,
139,9,GEN-014,True,
140,9,GEN-015,True,
141,9,GEN-016,True,
142,9,GEN-017,True,
143,9,GEN-018,False,
144,9,GEN-019,True,
145,9,GEN-020,True,
146,9,GEN-021,True,
147,9,GEN-022,False,
148,9,GEN-023,False,
149,9,GEN-024,True,
150,9,GEN-025,False,
151,9,GEN-026,False,
152,9,GEN-027,False,
153,9,GEN-028,False,
154,9,GEN-029,False,
155,9,GEN-030,True,
156,10,EME-001,False,
157,10,EME-002,True,
158,10,EME-003,True,
159,10,EME-004,True,
160,10,EME-005,True,
161,10,EME-006,False,
162,10,EME-007,False,
163,10,EME-008,True,
164,10,EME-009,False,
165,10,EME-010,False,
166,10,EME-011,True,
167,10,EME-012,True,
168,10,EME-013,False,
169,10,EME-014,False,
170,10,EME-015,True,
